chembl_id	pref_name	max_phase	first_approval	molecule_type	oral	parenteral	topical	natural_product	prodrug	inorganic	polymer	veterinary	withdrawn	canonical_smiles	inchi_key	mw	alogp	hba	hbd	psa	rtb	ro5_viol	qed	heavy_atoms	aromatic_rings	smiles_clean	herg
CHEMBL1200763	IODOHIPPURATE SODIUM I 131	4	1982	Small molecule	0	1	0	0	0			0		O=C([O-])CNC(=O)c1ccccc1[131I].[Na+]			1.11	2	2	66.4	3			14	1	O=C([O-])CNC(=O)c1ccccc1[131I]	ok
CHEMBL1200768	CEFTAZIDIME SODIUM	4	1989	Small molecule	0	1	0	1	0			0		CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)[O-].[Na+]			-1.3	11	3	191.22	9			37	2	CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)[O-]	ok
CHEMBL1200770	IOCETAMIC ACID	4	1982	Small molecule	1	0	0	1	0			0		CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I			3.16	3	2	83.63	4			20	1	CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I	ok
CHEMBL1200772	WARFARIN POTASSIUM	4	1982	Small molecule	1	0	0	0	0			0		CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O.[K+]			3.61	4	1	67.51	4			23	3	CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O	ok
CHEMBL1200774	FLUPREDNISOLONE	4	1982	Small molecule	1	0	0	0	0			0		C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO			1.51	5	3	94.83	2			27	0	C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO	ok
CHEMBL1200789	TRICLOFOS SODIUM	4	1982	Small molecule	1	0	0	0	0			0		O=P([O-])(O)OCC(Cl)(Cl)Cl.[Na+]			1.47	2	2	66.76	2			10	0	O=P([O-])(O)OCC(Cl)(Cl)Cl	ok
CHEMBL1200790	METHYPRYLON	4	1982	Small molecule	1	0	0	1	0			0		CCC1(CC)C(=O)NCC(C)C1=O			1.13	2	1	46.17	2			13	0	CCC1(CC)C(=O)NCC(C)C1=O	ok
CHEMBL1200799	TRAVOPROST	4	2001	Small molecule	0	0	1	0	1			0		CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O			4.43	6	3	96.22	12			35	1	CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O	ok
CHEMBL1200802	TALBUTAL	4	1982	Small molecule	1	0	0	1	0			0		C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O			0.96	3	2	75.27	4			16	0	C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O	ok
CHEMBL1200806	NAPROXEN SODIUM	4	1980	Small molecule	1	0	0	1	0			0		COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+]			3.04	2	1	46.53	3			17	2	COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1	ok
CHEMBL1200807	NORELGESTROMIN	4	2001	Small molecule	0	0	1	1	0			0		C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC			4.14	3	2	52.82	1			24	0	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC	ok
CHEMBL1200810	DOXERCALCIFEROL	4	1999	Small molecule	1	1	0	1	1			0		C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O			6.61	2	2	40.46	5			30	0	C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O	ok
CHEMBL1200814	ACETAZOLAMIDE SODIUM	4	1982	Small molecule	0	1	0	0	0			0		CC(=O)Nc1nnc(S([NH-])(=O)=O)s1.[Na+]			-0.86	6	2	115.04	2			13	1	CC(=O)Nc1nnc(S([NH-])(=O)=O)s1	ok
CHEMBL1200820	PIPERACILLIN SODIUM	4	1981	Small molecule	0	1	0	1	0			0		CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)[O-])c2ccccc2)C(=O)C1=O.[Na+]			-0.24	7	3	156.43	6			36	1	CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)[O-])c2ccccc2)C(=O)C1=O	ok
CHEMBL1200821	PROPYLIODONE	4	1982	Small molecule	0	1	0	1	0			0		CCCOC(=O)Cn1cc(I)c(=O)c(I)c1			2.01	4	0	48.3	4			16	1	CCCOC(=O)Cn1cc(I)c(=O)c(I)c1	ok
CHEMBL1200829	GLUCONOLACTONE	4	1990	Small molecule	0	0	0	1	0			0		O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O			-3.01	6	4	107.22	1			12	0	O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	ok
CHEMBL1200845	HALCINONIDE	4	1974	Small molecule	0	0	1	0	0			0		CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1			3.89	5	1	72.83	2			31	0	CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1	ok
CHEMBL1200848	HYDROXYPROGESTERONE CAPROATE	4	1975	Small molecule	0	1	0	1	0			0		CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C			5.97	4	0	60.44	6			31	0	CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C	ok
CHEMBL1200850	GANCICLOVIR SODIUM	4	1989	Small molecule	0	1	0	1	1			0		Nc1nc([O-])c2ncn(COC(CO)CO)c2n1.[Na+]			-1.97	8	4	139.28	5			18	2	Nc1nc([O-])c2ncn(COC(CO)CO)c2n1	ok
CHEMBL1200852	PENICILLIN V POTASSIUM	4	1958	Small molecule	1	0	0	1	0			0		CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[K+]			0.7	5	2	95.94	5			24	1	CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-]	ok
CHEMBL1200853	DYDROGESTERONE	4	1982	Small molecule	1	0	0	1	0			0		CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C			4.5	2	0	34.14	1			23	0	CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C	ok
CHEMBL1200854	FLUPHENAZINE DECANOATE	4	1972	Small molecule	0	1	0	0	1			0		CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1			8	6	0	36.02	15			41	2	CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	ok
CHEMBL1200855	TICARCILLIN DISODIUM	4	1976	Small molecule	0	1	0	1	0			0		CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)[O-])c3ccsc3)C(=O)N2[C@H]1C(=O)[O-].[Na+].[Na+]			0.55	6	3	124.01	5			25	1	CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)[O-])c3ccsc3)C(=O)N2[C@H]1C(=O)[O-]	ok
CHEMBL1200859	ISOSULFAN BLUE	4	1981	Small molecule	0	1	0	0	0			0		CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)[O-])cc1.[Na+]			4.1	6	1	117.82	9			37	2	CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)[O-])cc1	ok
CHEMBL1200862	METYROSINE	4	1979	Small molecule	1	0	0	1	0			0		C[C@](N)(Cc1ccc(O)cc1)C(=O)O			0.74	3	3	83.55	3			14	1	C[C@](N)(Cc1ccc(O)cc1)C(=O)O	ok
CHEMBL1200865	LOTEPREDNOL ETABONATE	4	1998	Small molecule	0	0	1	1	0			0		CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C			3.92	7	1	99.13	4			32	0	CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C	ok
CHEMBL1200866	PERFLUBRON	4	1993	Small molecule	1	0	0	0	0			0		FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br			6.35	0	0	0	6			26	0	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br	ok
CHEMBL1200868	PHENYL AMINOSALICYLATE	4	1982	Small molecule	1	0	0	1	0			0		Nc1ccc(C(=O)Oc2ccccc2)c(O)c1			2.19	4	2	72.55	2			17	2	Nc1ccc(C(=O)Oc2ccccc2)c(O)c1	ok
CHEMBL1200874	TOLBUTAMIDE SODIUM	4	1961	Small molecule	0	1	0	0	0			0		CCCCNC(=O)[N-]S(=O)(=O)c1ccc(C)cc1.[Na+]			1.78	3	2	75.27	5			18	1	CCCCNC(=O)[N-]S(=O)(=O)c1ccc(C)cc1	ok
CHEMBL1200877	FLUMETHASONE PIVALATE	4	1982	Small molecule	0	0	1	0	0			0		C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C			3.44	6	2	100.9	3			35	0	C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C	ok
CHEMBL1200878	TRIAMCINOLONE HEXACETONIDE	4	1969	Small molecule	0	1	0	0	1			0		CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C			4.41	7	1	99.13	4			38	0	CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C	ok
CHEMBL1200899	TYROPANOATE SODIUM	4	1969	Small molecule	1	0	0	0	0			0		CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)[O-])c1I.[Na+]			4.89	2	2	66.4	7			22	1	CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)[O-])c1I	ok
CHEMBL1200903	SECOBARBITAL SODIUM	4	1950	Small molecule	1	1	1	0	0			0		C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]			1.35	3	2	75.27	5			17	0	C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O	ok
CHEMBL1200907	TRILOSTANE	4	1984	Small molecule	1	0	0	1	0			1		C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O			3.47	4	2	76.78	0			24	0	C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O	ok
CHEMBL1200908	HALOBETASOL PROPIONATE	4	1990	Small molecule	0	0	1	0	0			0		CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C			4.05	5	1	80.67	4			33	0	CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	ok
CHEMBL1200909	PREDNISOLONE TEBUTATE	4	1956	Small molecule	0	1	0	1	0			0		CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C			3.54	6	2	100.9	4			33	0	CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C	ok
CHEMBL1200910	SULFISOXAZOLE ACETYL	4	1953	Small molecule	1	0	0	1	1			0		CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1			1.62	6	1	106.5	3			21	2	CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1	ok
